tienda,nombre,marca,precio,stock,categoria,url,imagen
Plaza Vea,Aceite Vegetal DELEITE Premium Botella 900ml,DELEITE,7.3,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-deleite-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/2465695-184-184/20238463.jpg?v=637681303662930000
Plaza Vea,Aceite de Oliva EL OLIVAR Extra Virgen Botella 200ml,EL OLIVAR,16.5,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-el-olivar-extra-virgen-botella-200ml/p,https://plazavea.vteximg.com.br/arquivos/ids/550595-184-184/3147.jpg?v=637425698785330000
Plaza Vea,Aceite de Oliva EL OLIVAR Extra Virgen Botella 500ml,EL OLIVAR,37.5,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-el-olivar-extra-virgen-botella-500ml/p,https://plazavea.vteximg.com.br/arquivos/ids/550600-184-184/2204.jpg?v=637425698958330000
Plaza Vea,Aceite de Soya SOYA Botella 900ml,SOYA,6.2,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-de-soya-soya-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/4159435-184-184/107285.jpg?v=637750921117170000
Plaza Vea,Aceite de Girasol y Oliva CARBONELL Botella 1L,CARBONELL,21.9,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-y-girasol-carbonell-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/ids/30259616-184-184/20407692.jpg?v=638682679360400000
Plaza Vea,Aceite Girasol VALLENORTE Botella 900ml,VALLENORTE,9.5,Sí,"Abarrotes / Aceite / Aceite de Maíz, Girasol y Canola",https://www.plazavea.com.pe/aceite-girasol-vallenorte-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/29206971-184-184/20425822.jpg?v=638561721122970000
Plaza Vea,Aceite de Oliva BELL'S Extra Virgen Botella 2L,BELL'S,62.9,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-bells-extra-virgen-botella-2l/p,https://plazavea.vteximg.com.br/arquivos/ids/28998988-184-184/20256358.jpg?v=638497459256700000
Plaza Vea,Aceite de Ajonjolí BELL'S Frasco 200ml,BELL'S SELECCIÓN,12.9,Sí,Abarrotes / Aceite / Aceites Especiales,https://www.plazavea.com.pe/aceite-de-ajonjoli-bells-frasco-200ml/p,https://plazavea.vteximg.com.br/arquivos/ids/31302021-184-184/20220357.jpg?v=638820772698400000
Plaza Vea,Aceite Vegetal BELL'S Galonera 5L,BELL'S,30.5,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-bells-galonera-5l/p,https://plazavea.vteximg.com.br/arquivos/ids/28358184-184-184/20193771.jpg?v=638363517375270000
Plaza Vea,Aceite de Oliva VALDEPORRES Gran Selección Botella 2L,VALDEPORRES,79.9,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-valdeporres-gran-seleccion-botella-2l/p,https://plazavea.vteximg.com.br/arquivos/ids/560983-184-184/20120011.jpg?v=637427416253170000
Plaza Vea,Aceite de Oliva BELL'S Puro Botella 200ml,BELL'S,8.8,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-bells-puro-botella-200ml/p,https://plazavea.vteximg.com.br/arquivos/ids/31298277-184-184/20040108.jpg?v=638818077034500000
Plaza Vea,Aceite de Girasol BASSO Botella 1L,BASSO,11.5,Sí,"Abarrotes / Aceite / Aceite de Maíz, Girasol y Canola",https://www.plazavea.com.pe/aceite-de-girasol-basso-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/ids/31513011-184-184/20088048.jpg?v=638857745644570000
Plaza Vea,Aceite de Canola en Aerosol PAM Original Frasco 170g,PAM,29.1,Sí,"Abarrotes / Aceite / Aceite de Maíz, Girasol y Canola",https://www.plazavea.com.pe/aceite-de-canola-en-aerosol-pam-original-frasco-170g/p,https://plazavea.vteximg.com.br/arquivos/ids/30388190-184-184/16880.jpg?v=638723866837830000
Plaza Vea,Aceite Vegetal BELTRAN Botella 900ml,BELTRAN,6.8,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-beltran-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/31462907-184-184/20391973.jpg?v=638852262366370000
Plaza Vea,Aceite de Coco BELL'S Frasco 200g,BELL'S,15.5,Sí,Abarrotes / Aceite / Aceites Especiales,https://www.plazavea.com.pe/aceite-de-coco-bells-frasco-200g/p,https://plazavea.vteximg.com.br/arquivos/ids/27905570-184-184/20358162.jpg?v=638337264967900000
Plaza Vea,Aceite de Oliva BELL'S Extra Virgen Botella 1L,BELL'S,39.1,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-bells-extra-virgen-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/ids/10256082-184-184/20207183.jpg?v=637862425342030000
Plaza Vea,Aceite Vegetal BELL'S Botella 3L,BELL'S,18.5,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-bells-botella-3l/p,https://plazavea.vteximg.com.br/arquivos/ids/561841-184-184/20193770.jpg?v=637427445892270000
Plaza Vea,Aceite de Oliva OLIVOS DEL SUR Extra Virgen Botella 500ml,OLIVOS DEL SUR,34.7,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-olivos-del-sur-extra-virgen-botella-500ml/p,https://plazavea.vteximg.com.br/arquivos/ids/32682501-184-184/20046703.jpg?v=638966668563230000
Plaza Vea,Aceite de Oliva BELL'S Puro Botella 900ml,BELL'S,31.6,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-bells-puro-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/31298279-184-184/20040110.jpg?v=638818077119030000
Plaza Vea,Aceite de Oliva EL OLIVAR Extra Virgen Botella 1L,EL OLIVAR,66.8,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-el-olivar-extra-virgen-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/ids/550597-184-184/16499.jpg?v=638811961276700000
Plaza Vea,Aceite de Maíz BASSO Botella 1L,BASSO,11.9,Sí,"Abarrotes / Aceite / Aceite de Maíz, Girasol y Canola",https://www.plazavea.com.pe/aceite-de-maiz-basso-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/ids/31513012-184-184/20088050.jpg?v=638857745687730000
Plaza Vea,Aceite de Oliva VALDEPORRES Extra Virgen Botella 1L,VALDEPORRES,50.7,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-valdeporres-extra-virgen-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/ids/26761465-184-184/20092828.jpg?v=638229315003400000
Plaza Vea,Aceite de Oliva CARBONELL Extra Virgen Botella 1L,CARBONELL,48.8,Sí,Abarrotes / Aceite / Aceite de Oliva,https://www.plazavea.com.pe/aceite-de-oliva-carbonell-extra-virgen-botella-1l/p,https://plazavea.vteximg.com.br/arquivos/ids/2226652-184-184/6688.jpg?v=637642243016170000
Plaza Vea,Aceite de Maíz FLORIDA Botella 900ml,FLORIDA,9.9,Sí,"Abarrotes / Aceite / Aceite de Maíz, Girasol y Canola",https://www.plazavea.com.pe/aceite-de-maiz-florida-botella-900ml/p,https://plazavea.vteximg.com.br/arquivos/ids/31861367-184-184/20506617.jpg?v=638905593479570000
Plaza Vea,Aceite de Canola BELL'S Spray 150ml,BELL'S,10.1,Sí,Abarrotes / Aceite / Aceites Especiales,https://www.plazavea.com.pe/aceite-de-canola-bells-spray-150ml/p,https://plazavea.vteximg.com.br/arquivos/ids/31072596-184-184/20402931.jpg?v=638786844809430000
Plaza Vea,Aceite Vegetal WESSON Canola Botella 1.18L,WESSON,38.7,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-wesson-canola-botella-1-18l/p,https://plazavea.vteximg.com.br/arquivos/ids/30249765-184-184/20465090.jpg?v=638682060216870000
Plaza Vea,Aceite Vegetal Premium DELEITE Bidón 3L,DELEITE,23.1,Sí,Abarrotes / Aceite / Aceite Vegetal,https://www.plazavea.com.pe/aceite-vegetal-premium-deleite-bidon-3l/p,https://plazavea.vteximg.com.br/arquivos/ids/30249759-184-184/20465091.jpg?v=638682059930200000
Plaza Vea,Aceite de Palta GATTI Extra Virgen Botella 250ml,GATTI,35.0,Sí,Abarrotes / Aceite / Aceites Especiales,https://www.plazavea.com.pe/aceite-de-palta-gatti-extra-virgen-botella-250ml/p,https://plazavea.vteximg.com.br/arquivos/ids/29808785-184-184/20462934.jpg?v=638654704971100000
Plaza Vea,Aceite de Coco Virgen Orgánico PERUVIAN HEALTH Frasco 250ml,PERUVIAN,25.0,Sí,Abarrotes / Aceite / Aceites Especiales,https://www.plazavea.com.pe/aceite-de-coco-virgen-organico-peruvian-health-frasco-250ml/p,https://plazavea.vteximg.com.br/arquivos/ids/29519302-184-184/20456329.jpg?v=638623153360800000
